ID,Date,Start,Finish,Title,Tags
1,4-18-2024,09:00:00 AM,11:00:00 AM,Coffee Hangout,"Food, Social"
2,4-18-2024,11:00:00 PM,01:00:00 PM,Super Micro Mini Hackathon,Technology
3,4-19-2024,08:00:00 AM,10:00:00 AM,Team Sports Sport Game,Sports
4,4-20-2024,05:00:00 PM,06:00:00 PM,Game Time,Video Games
5,4-21-2024,02:30:00 PM,04:00:00 PM,Afternoon Market,Shopping
6,4-18-2024,11:00:00 AM,12:00:00 PM,Stock Market Class ,"Learning, Technology"
7,4-17-2024,01:00:00 PM,03:30:00 PM,Teaching Robots How to Love,"Social, Technology"
8,4-27-2024,09:00:00 AM,11:00:00 AM,Swim Meet,Sports
9,4-26-2024,10:00:00 AM,12:30:00 PM,Retro Gaming Market,"Shopping, Video Games"
10,4-22-2024,03:00:00 PM,04:00:00 PM,Flyer Handout,Social
